vehicle_id,lat,lon,direction,timestamp,stop_sequence,trip_id,route_id,agency
y3264,42.37727737426758,-71.12003326416016,1,2026-03-31 17:11:41,1,73584006,66,MBTA
y3258,42.331857,-71.097741,1,2026-03-31 17:11:40,30,73584002,66,MBTA
y3257,42.335953,-71.120549,1,2026-03-31 17:11:45,22,73584003,66,MBTA
y3252,42.33619,-71.120753,0,2026-03-31 17:11:42,15,73583883,66,MBTA
y3251,42.357117,-71.128519,0,2026-03-31 17:11:38,26,73583880,66,MBTA
y3243,42.375335693359375,-71.11929321289062,1,2026-03-31 17:11:41,1,73584325,66,MBTA
y3220,42.33161163330078,-71.09527587890625,0,2026-03-31 17:11:39,6,73583886,66,MBTA
y3219,42.330776,-71.088786,1,2026-03-31 17:11:41,34,73583999,66,MBTA
y3217,42.35549,-71.132964,1,2026-03-31 17:11:40,15,73584007,66,MBTA
y3130,42.390764,-71.035076,0,2026-03-31 17:11:43,6,73901741,111,MBTA
y3128,42.371126,-71.062415,1,2026-03-31 17:11:28,22,73901750,111,MBTA
y2112,42.387513,-71.07296,1,2026-03-31 17:11:42,1,73901758,111,MBTA
y2110,42.36164,-71.05741,0,2026-03-31 17:11:40,1,73901970,111,MBTA
y2104,42.405449,-71.029901,0,2026-03-31 17:11:42,18,73901745,111,MBTA
y2089,42.366201,-71.05884,0,2026-03-31 17:11:42,3,73901931,111,MBTA
y2082,42.409518,-71.030094,0,2026-03-31 17:11:37,21,73901755,111,MBTA
y2074,42.41568,-71.03297,1,2026-03-31 17:11:37,1,73901808,111,MBTA
y2058,42.39124,-71.037958,1,2026-03-31 17:11:44,21,73901821,111,MBTA
y2024,42.404251,-71.035863,1,2026-03-31 17:11:41,11,73901759,111,MBTA
y2014,42.398369,-71.031004,1,2026-03-31 17:11:43,16,73901896,111,MBTA
y2012,42.400522,-71.033383,0,2026-03-31 17:11:43,13,73901744,111,MBTA
y1998,42.362213,-71.056884,0,2026-03-31 17:11:33,1,73901779,111,MBTA
y1977,42.3624,-71.05699,0,2026-03-31 17:11:30,1,73901855,111,MBTA
y1927,42.371442,-71.065727,0,2026-03-31 17:11:44,3,73901753,111,MBTA
y2065,42.35128,-71.16727,1,2026-03-31 17:11:29,1,73870793,64,MBTA
y2053,42.356723,-71.143167,0,2026-03-31 17:11:45,20,73870775,64,MBTA
y1993,42.36209,-71.11397,1,2026-03-31 17:11:40,18,73870772,64,MBTA
y1979,42.362632,-71.08954,0,2026-03-31 17:11:29,2,73870829,64,MBTA
y0759,42.300234,-71.061225,1,2026-03-31 17:11:42,19,74122265,201,MBTA
y1707,42.286844,-71.128609,0,2026-03-31 17:11:42,8,74213415,50,MBTA
y1690,42.28607,-71.128468,1,2026-03-31 17:11:42,20,74213399,50,MBTA
y1675,42.314486,-71.099652,0,2026-03-31 17:11:41,12,74213212,42,MBTA
y1668,42.316693,-71.097453,1,2026-03-31 17:11:45,10,74213206,42,MBTA
y2083,42.409466,-71.139021,1,2026-03-31 17:11:45,6,73870288,87,MBTA
y2054,42.37922,-71.09448,1,2026-03-31 17:11:34,31,73870168,87,MBTA
y2031,42.39566,-71.12034,0,2026-03-31 17:11:37,18,73870321,87,MBTA
y1981,42.379021,-71.094051,0,2026-03-31 17:11:42,5,73870182,87,MBTA
y1948,42.3725,-71.07732,0,2026-03-31 17:11:17,1,73870241,87,MBTA
y2043,42.36496,-71.090012,1,2026-03-31 17:11:27,9,73869037,85,MBTA
y3147,42.36177,-71.10064,0,2026-03-31 17:11:35,1,73869708,70,MBTA
y2097,42.376702,-71.216766,1,2026-03-31 17:11:43,17,73869682,70,MBTA
y2095,42.37464,-71.23547,0,2026-03-31 17:11:35,41,73869544,70,MBTA
y2094,42.363545,-71.128977,0,2026-03-31 17:11:39,10,73869533,70,MBTA
y2090,42.38146,-71.26202,1,2026-03-31 17:11:24,1,73869621,70,MBTA
y2063,42.36319,-71.135532,1,2026-03-31 17:11:43,28,73869585,70,MBTA
y2033,42.385013,-71.073582,0,2026-03-31 17:11:40,1,73869571,70,MBTA
y2029,42.365,-71.10444,0,2026-03-31 17:11:40,3,73869530,70,MBTA
y2003,42.363387,-71.133134,1,2026-03-31 17:11:43,39,73869537,70,MBTA
y1965,42.366206,-71.185445,0,2026-03-31 17:11:42,24,73869539,70,MBTA
y1951,42.3762,-71.23481,1,2026-03-31 17:11:37,2,73869660,70,MBTA
y1928,42.377828,-71.22451,0,2026-03-31 17:11:46,37,73869534,70,MBTA
